An interminable, shoddily-researched lecture masquerading as comedy	Lincoln, NE	For those of us who have watched Kirk Cameron pontificate on the wonders of the banana, or read his musings on the legitimacy of the existence of fire-breathing dragons, we know that Kirk Cameron himself is comedy gold. One might expect more hilarity from Cameron in Saving Christmas, but Cameron actually intentionally tries to build a comedy here, and the result is an unfunny, unfocused, interminable mess.The film begins with an uncomfortable scene involving Kirk Cameron sitting in a chair, lecturing at the audience. &#x22;They don&#x27;t want us to love Christmas,&#x22; Cameron declares authoritatively, never bothering to define exactly who &#x22;they&#x22; are. Cameron drones on for several more minutes, and at this point in the film, I heard a kid in the back of the theater yawn loudly&#x97;perhaps an audible protest that this film would not be the exciting romp promised on the poster.Finally, the film cuts away from Kirk Cameron, and we see several characters enjoying a Christmas party. But then we see Kirk Cameron again, the film freezes, and we hear Kirk Cameron narrating about himself: &#x22;That&#x27;s me&#x97;Kirk!&#x22; More lecturing ensues.Eventually, a character by the name of Christian (almost as clever as &#x22;Josh Wheaton&#x22;), a Christian himself, despondently finds his way to a car, apparently disillusioned by the materialism of Christmas. Enter Kirk Cameron, who enters the vehicle and does what he does best&#x97;more lecturing.The majority of the film takes place in this car as Kirk lectures to Christian, with occasional cutaways to Biblical imagery. Cameron tries to make the case that Christmas traditions, such as celebratory trees and gifts, all somehow originated with Christianity, not paganism. (Never mind the fact that ancient paganism predates Christianity.) &#x22;Last time I checked, God created the winter solstice!&#x22; is the type of asinine reasoning you&#x27;ll hear from Kirk Cameron throughout the film. Cameron&#x27;s facts are both dubious and sparse, and his connections are spurious&#x97;but Christian is nevertheless invariably blown away by Kirk Cameron&#x27;s apparently amazing insight.Perhaps aware that interminable lecturing on its own would be unbearable for an audience, the film provides characters with quirky personalities in an effort to break up the tedium. In particular, we are treated to a scene back in the house of two characters rambling schizophrenically as they drink hot chocolate. It has nothing to do with Christian&#x27;s story, it makes the movie feel unfocused, it goes on for far too long, and if my theater is any indication, it is not funny at all. In fact, there was dead silence in my theater throughout the entire run of this &#x22;comedy&#x22; film.The film ends with a dance sequence that feels like it lasts ten minutes, as well as multiple, gratuitous blooper scenes&#x97;I suppose for no reason other than to pad the running time. Just when you think it&#x27;s finally over, we see Kirk Cameron again, and he continues to lecture the audience&#x97;this time about how materialism is just fine, because Jesus came to us in a material body, after all.One gets the impression that Kirk Cameron actually started reading his own Bible, was disturbed by what he found (such as Jesus&#x27; instruction to &#x22;go sell your possessions and give to the poor&#x22;), and produced this film as a desperate justification for his own hypocrisy.At my theater, nobody laughed, and nobody stayed for the end credits. This purported comedy film fails at every level. If you&#x27;re really looking for a laugh, go back and take a look at what Kirk Cameron and Ray Comfort have to say about the glorious design of the banana.	1
A yuletide atrocity	United States	It&#x27;s no secret that, on both the mainstream and independent circuit of film, Christian cinema has been a big focus in 2014. Films like &#x22;Heaven is for Real,&#x22; &#x22;Noah,&#x22; &#x22;Son of God,&#x22; and next month&#x27;s &#x22;Exodus: Gods and Kings&#x22; have all catered to the faithful in some way and have gone on to achieve uniformly strong financial numbers as well. The independent circuit has seen big hits like &#x22;God&#x27;s Not Dead&#x22; and marginal successes like &#x22;Left Behind,&#x22; &#x22;Mom&#x27;s Night Out,&#x22; &#x22;Persecuted,&#x22; and &#x22;When the Game Stands Tall,&#x22; all of which finding ways to connect with their target audience in at least recognizing their faith in the cinema, a place where it&#x27;s fair to believe the religious demographic has felt ignored. Former Television star and devout, outspoken Christian Kirk Cameron has now thrown his hat in the ring, latching on to this newfound trend, and effectively making not only the worst film of its genre but the worst film of 2014. &#x22;Kirk Cameron&#x27;s Saving Christmas&#x22; is a disjointed mess, structurally pathetic and morally bankrupt as we watch scenes interwoven with little coherency, dialog written and delivered in its most wooden form, and wonderful morals to teach our children, like &#x22;materialism is good.&#x22; The film begins with Cameron sitting in a blatantly artificial living room, decorated with more Christmas lights and flair than Macy&#x27;s after Thanksgiving passes, giving us an introduction to the film at hand. He states the biggest problem with the Christmas season is the &#x22;people&#x22; who want to segregate the spread of faith and good cheer to the private homes of those who celebrate the holiday or simply want the holiday done away with all together. He rambles on for about three minutes as the introduction sets the perfect theme for this film; it&#x27;s a circumventing project that never results in a specific or thoughtfully-articulated point.We cut to a Christmas party held by Cameron&#x27;s sister, where a Santa has been hired, the tree has been erected, the house has been decorated, a feast has been prepared, and everyone is in an incorruptibly cheery mood; everyone except Cameron&#x27;s brother-in-law Christian (director Darren Doane), who is seen moping around the house before quietly slipping away to his car. Kirk follows Christian and learns the materialism of Christmas bothers him immensely, as he watches kids beg for toys they won&#x27;t play with in three weeks and parents max out their credit cards, giving way to the materials and the illuminating tree in the center of the room, and all while neglecting the baby Jesus in the manger, who is the ultimate &#x22;reason for the season.&#x22;Cameron begins to initiate flashbacks to biblical times to &#x22;justify&#x22; why we have the Christmas traditions that we do. However, it&#x27;s not enough that we get a history lesson told from the enormously biased lens of Cameron, but in a dodgy and muddled manner. Cameron gets absorbed in the significance of baby Jesus&#x27;s swaddling cloth and the original mean-spirited roots of Saint Nicholas (something that will undoubtedly scare and confuse children), never addressing Christian&#x27;s true distaste for the holiday season. Kirk meanders for about forty minutes, talking himself in incoherent and redundant circles, never addressing Christian&#x27;s questions in a way that we can extract counterpoints or citing Christmas&#x27;s Pagan and cultist roots (if you&#x27;re going to show Saint Nicholas as a brute, at least address the backstory).Interjected in these ridiculously dry biblical flashbacks and in-car dialogs are exaggerated characters masquerading as likable people with personalities drawn so wide they are desperately unfunny. We see two party guests discuss &#x22;The War on Christmas,&#x22; relating it to several other conspiracy theories that just feels like a soundoff of paranoia. We get a few minutes of dead-end, annoying conversation and some of the worst displays of acting this year before it&#x27;s back to the car for a half-assed lecture. &#x22;Saving Christmas&#x22; ends with an abhorrent dance number to an incorrigible techno/rap hybrid, with members of the cast obnoxiously dancing and doing slow-motion choreography together. We end things with a perfunctory voice-over with Cameron before we&#x27;re greeted by almost ten minutes of closing credits showing bloopers, outtakes, and a barrage of other things padding this project to just barely being feature- length (eighty minutes). If my plot synopsis sounds like it has not made any sense, then I have effectively lived up to the structure and the narrative pace of this particular film.Just by comparing the full-length film to its trailer, you can tell &#x22;Saving Christmas&#x22; was Cameron&#x27;s last minute idea to cash in on the Christian cinema craze of the year. The trailer for the film talks about how Christmas has been corrupted by materialism and the political correctness of the holiday. However, Cameron blatantly contradicts his thesis when he states during the closing monologue that &#x22;materialism is good&#x22; because Christmas is about &#x22;God taking possession of a material body.&#x22; Aside from ushering in a pathetic excuse for a moral at the end of a film about Christmas, the cardinal sins committed here run amuck: a sloppy narrative hodgepodge of biblical flashbacks, inept lecturing, and pointless filler clearly padding a small runtime, atrocious acting on all fronts, a desperate attempt at &#x22;staying hip&#x22; and keeping the attention of the audience by throwing in a hip-hop dance number, contemptible morals, and failure to address or even stick to a cogent thesis. Kirk Cameron and company should be required to volunteer at local charities or help cater several breakfasts with Santa to make up for such a yuletide atrocity.	1
Kirk Camerons Low Budget Soapbox	United States	I created this account just to give this 1 star. That&#x27;s how bad it was. I went into this expecting a generic Christmas movie, and I didn&#x27;t even get that. The &#x22;plot&#x22; is awful. I put plot in quotation marks because I&#x27;m not even sure if this movie has one. Two guys walk out to a car and talk for an hour. That&#x27;s all that happens. It&#x27;s basically a feature length sermon, and a crappy one at that. There are literally NO redeeming qualities in this film. The camera work is extremely amateurish, and the acting and direction were absolutely abysmal. I had extremely low expectations for this, and it still managed to be disappointing. This movie is a total waste of time and money, and I honestly believe it&#x27;s the worst movie of 2014.	1
A horrifying cash grab	Australia	This movie is horrendous on so many levels - patronising to Christians, incredibly bad plot and direction, the acting and dialogue is as comfortable as a dentist&#x27;s visit. I suspect the whole thing is purely a desperate attempt by Cameron to pander to under-educated Christians in an effort to earn their hard earned dollars. Either that, or it is just a giant ego trip for him. I had no preconceptions before I went to watch this, and left confused as to the amount of utter garbage wedged into what seemed like an eternity of boredom. Even worse, he is asking his Christian supporters to bear false witness by skewing the votes here and on rotten tomatoes. Hypocritical? I&#x27;ll let you decide.	1
This movie is why a 0 star rating should be implemented on this site	None	Saving Christmas needed saving...and by that, I mean it should have been mercy killed. the acting is horrendous and it&#x27;s story is only a reminder that anyone that paid to see it wasted their money. Even if you are a die-hard Christian, please do not see this movie, it&#x27;s one of the worst movies you could ever watch ever, and considering stuff like The Room and Birdemic exists, That&#x27;s saying A lot. oh, and that thing Kirk Cameron&#x27;s doing to try to boost the rating on Rotten Tomatoes: Cameron, you should know the Bible verse &#x22;Thou shalt not bear false witness&#x22; it&#x27;s one of the 10 commandments. That&#x27;s all I have to say on this matter, Don&#x27;t watch the film. I mean Seriously Cameron, you should know better.	1
Not remotely funny, neither in the right nor wrong sense	Germany	I have to admit, that I hadn&#x27;t even planed to go to the movies on the day that I walked into &#x22;Saving Christmas&#x22;. There was nothing on offer that interested me, so I turned to figure another way to squander my money. But then I saw the name &#x22;Kirk Cameron&#x22;, saw that pasty face on the poster and two words came to my mind: &#x22;Crockoduck&#x22; and &#x22;Banana&#x22;! Yes, through the internet-memes and jokes I had been exposed to Cameron and his ilk. Upon realizing that those people were not comedians, I figured this was the most hilarious insane stuff I had heard in a long time and that Kirk Cameron may well be the missing brother of &#x22;Dumb and Dumber&#x22;. So I flashed the buck, walked in and expected much unintentional hilarity and future memes in the making.There were about 10 to 15 people sitting in the cinema, most with kids (I presume they were expecting a Christmas comedy). For a good deal of the beginning we are exposed to Cameron brattling on about some things or other, but it was mainly boring, nonsensical stuff that contained no (unintentional) comedy gold. Only when Kirk spouts that &#x22;god created winter solstice&#x22;, there was some chuckling to be heard. Not bad, but heard before (what hasn&#x27;t god created allegedly? Cars, air, shoes, bacteria, the universe and everything else, etc &#x96; this answer will give you a guaranteed A+ in any bible- or koran-school). At this point Cameron is sitting in some car with another guy and, like a true believer he keeps rambling and rambling and rambling. Nodded off for awhile but since I have a light sleep and get easily awoken by noise, I can only deduct that there was no joke missed since nobody had been laughing so far. At what I presume must have been the end of the &#x22;movie&#x22; there was some ridiculous dance-sequence (you know the type that should signify to the audience that they&#x27;re watching a &#x27;hip&#x27; film) and I decided to call it a day. As I turned to leave, I noticed that the cinema was empty and that I was the last rat to leave the sinking ship. So I left Kirk and his friends to dance to an empty cinema &#x96; and for all I know, they still dance there as I write.Look, we are all aware that people will believe much if only it gives them a crutch for reality. Virgins giving birth, horses flying from Mekka to Jerusalem overnight, zombies rising from the grave in order to bring world-peace, etc. It would be pointless (and perhaps even unkind) to point out that virgins cannot give birth, horses don&#x27;t fly and that the dead stay dead. But that&#x27;s were magic and science clash, alchemy has to make way or chemistry and believe hollers at common-sense and knowledge. Nothing new there, it&#x27;s been going on since the stone-age. But the stuff that Cameron and his ilk have formulated here (to put it kindly), that&#x27;s a whole new dimension of crazy. It reeks not only of fanatics but of self-serving. And the worst sin: this movie is boring, tedious and free of laughs, no matter which way you slice it.The lesson learned: it can be mildly amusing to watch a five minute YouTube video about a deranged guy, but giving him 80 minutes of your live, that&#x27;s simply not a good idea. It&#x27;s like holding a &#x27;deep&#x27; conversation with a bunch of jehova&#x27;s witness or the guy on the corner with the &#x22;the end is nigh&#x22;-sign &#x96; what&#x27;s the point if no real laughs are to be had? Just wait for the internet-meme; if there&#x27;s something worth laughing about, the &#x22;haters&#x22; will find and post if for sure (and it&#x27;s free!). &#x22;Jesus Camp&#x22; was funnier (and &#x22;Jesus Camp&#x22; was actually a very sad movie). This here is &#x22;IMDB Bottom-100&#x22;-material.Now, enough electronic ink wasted on this. Let&#x27;s make space for those who found the movie &#x22;exceptional&#x22;, &#x22;inspirational&#x22; and &#x22;great education&#x22; &#x96; you might be able to guess from which corner those come.What I give this tripe? Of course nothing. If you see a one point rating, it probably comes from god (pardon, meant to say IMDb)	1
Kirk Cameron isnt saving Christmas hes desecrating it	None	What&#x27;s wrong with this movie? There&#x27;s not enough time or space to cover all of it, so I&#x27;ll just share the main reasons why anyone who loves Jesus, His Word and His people should or would never watch this mockery of Christmas.&#x22;Saving Christmas&#x22; is in direct violation of Romans 14:5-6 and 22-23, twists Scripture, reconstructs history and encourages gluttony.There&#x27;s nothing in this film that is &#x22;wholesome&#x22; and good for anyone, believer or non-believer.Let&#x27;s save others from Kirk and crew&#x27;s version of Christ&#x27;s first coming and celebrate (if your conscience allows) with reverence, awestruck wonder and with the true and great joy that envelopes all who are humbled by and grateful for God&#x27;s most amazing Gift--Jesus Christ, the one and only Son of God.http://www.sunnyshell.org/2014/10/kirk-camerons-saving-christmas.html	1
Notice how long the 10-star raters have been members, and how many movies theyve reviewed...	Pittsburgh, PA	First, let me state that in spite of the claims of Cameron and those who support him (and who have attempted to artificially raise this movie&#x27;s ratings with fake profiles and fake reviews), I, as someone who hated this movie, have nothing against Christians or Christianity. Not at all. Most everyone I know and love _are_ Christians. Die-hard, conservative, dyed-in-the-wool Fox-news-loving fundamentalist Christians. And even THEY thought this movie sucked.That Kirk tried to use religious guilt on people to have the ratings artificially inflated is just pathetic. Seriously, dude, you have a problem. You need help. Get some. :-/ My opinion of this movie is pretty much the same as the opinions of EVERYONE I know who&#x27;s actually had the misfortune of deciding to give it a try. It would be pure camp if those who made it weren&#x27;t being so stone-faced serious. It&#x27;s patronizing, condescending, childish and just downright _bad_. And it&#x27;s not the message, itself - even those I know who agree with the central point Kirk&#x27;s trying to make see the movie as doing more harm than good.As for that illicit ratings-inflating campaign, it appears to be bearing fruit. When you have a movie with overwhelmingly bad ratings (and I man REALLY bad, where most are just 1-star with, shall we say, &#x22;Nothing nice to say...&#x22;), and just a couple of profiles with 10-star ratings and glowing things to say, and ALL of those 10-star profiles were clearly just set up just to make the glowing review about just that one movie... I&#x27;m not going to outright accuse anyone of anything, but, well, it doesn&#x27;t inspire confidence in their legitimacy.I mean seriously, dude, stop it. You&#x27;re not helping Christianity&#x27;s image at all. In fact, you&#x27;re making it worse. Even if you don&#x27;t care about your own image, you should seriously give thought to how much more damage you want to do to the Christian image in the U.S. today. Or are you a closet atheist trying to destroy the &#x22;enemy&#x22; from within? Your actions are hurting far more than helping.And I have nothing against Christianity or religion in general. If people want to be proud of their religion and remind themselves of the spin Christianity has added to the meaning of all these previously-existing traditions and holidays, that&#x27;s wonderful. But this? This isn&#x27;t _that_. This is just pandering, patronizing, exploiting - pure and simple.Please, Kirk, get help.	1
How to Watch Saving Christmas	New York City	Every so often, a movie comes along that reminds us why drinking games were invented. This is that movie.Three margaritas seems to be the minimum for watching this one. With that much tequila in you, you will be able to appreciate the subtle humor and profound wisdom of Kirk Camer...hmph....hmph....hmph....BWA-HA-HA-HA-HA-HA-HA!!!!!!!!!! Sorry. I thought I could type that with a straight face. I couldn&#x27;t. Must be the margaritas.At any rate, this is a laughably bad movie that should go a long way toward torpedoing Mr. Cameron&#x27;s already sinking career. And I say, fire at will!	1
Not feature-length quality	United States	Full disclosure: I am a Roman Catholic, raised by devout parents and taught by dedicated clergy. I happen to subscribe to the view that the &#x22;war on Christmas&#x22; is part of a larger, not necessarily connected, movement whose chief side effect is to eliminate or diminish the chief underpinnings and foundations of western Judeo-Christian society. Lawsuits against Nativity displays are, to me, the handiwork of unhappy zealots. Having said all that, this film was earnest but profoundly flawed.First, I didn&#x27;t appreciate the swipe against the Catholic Church&#x27;s hierarchy (bishops with high hats and scepters) during the St. Nicholas segment. I do like the St. Nicholas story, but it was contrived here with the original St. Nicholas doing a &#x22;ho-ho-ho&#x22; (I am not kidding) just before being told by his assistant to start the deliveries (presumably of gifts).Second, if indeed the simplicity of the original Nativity is to be stressed, with Jesus born to Mary and Joseph in a cave, laid in a feeding manger, then perhaps they should have cast a Mary who had not just had her nails done. There they were, as Mary was holding the Christ child, each nail impeccable - and painted. And their garments? Perfectly clean, even looking like they&#x27;d just been ironed. Third, don&#x27;t direct so that we can see the direction. Head turns, puzzled looks, earnest looks . . . I shouldn&#x27;t be hearing in my head the director&#x27;s exact stage directions. &#x22;OK, look right at him then turn away.&#x22; Fourth, this was not about Saving Christmas. This was about explaining our modern celebration of it - it&#x27;s already been saved, judging from the frequent references to it being celebrated the world over. I liked Noah. I liked Narnia. I like the Hobbit movies. I did not like this one.	1
